host,id,threads,url,server_type,call_mode,regs,tsmin,tsmas,millis,ns_avg,ns_p90,ns_p95,ns_p99,stdev
MXULOMJ8,ms-test-20240402_215150-0,threads_8,localhost-8091,jersey3,full,1000000,1712087511140,1712087535960,24820,184176,216427,231420,314604,116984
MXULOMJ8,ms-test-20240402_215238-0,threads_8,localhost-8091,jersey3,local,1000000,1712087559453,1712087565675,6222,42058.7,45353,72657,118111,88180.8
MXULOMJ8,ms-test-20240402_215307-0,threads_8,localhost-8092,flask_2_0_3,full,1000000,1712087588640,1712088291869,703229,5.35009e+06,7175718,7787152,8645942,1.3386e+06
MXULOMJ8,ms-test-20240402_220513-0,threads_8,localhost-8092,flask_2_0_3,local,1000000,1712088315038,1712088321333,6295,42347.8,48062,71504,117252,101022
MXULOMJ8,ms-test-20240402_220543-0,threads_8,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712088344211,1712088367569,23358,173992,196549,216050,293083,117006
MXULOMJ8,ms-test-20240402_220629-0,threads_8,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712088390552,1712088397098,6546,43051.9,50188,75621,133634,100949
MXULOMJ8,ms-test-20240402_220659-0,threads_8,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712088420800,1712088441529,20729,152296,172049,190848,271935,90674.9
MXULOMJ8,ms-test-20240402_220744-0,threads_8,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712088465054,1712088471472,6418,42705.2,48312,72638,129322,83427.1
MXULOMJ8,ms-test-20240402_220813-0,threads_16,localhost-8090,spring3_6_1_5,full,1000000,1712088494334,1712088505749,11415,163084,202838,233297,334965,129675
MXULOMJ8,ms-test-20240402_220847-0,threads_16,localhost-8090,spring3_6_1_5,local,1000000,1712088528815,1712088534483,5668,59367.2,88326,109311,190471,203024
MXULOMJ8,ms-test-20240402_220917-0,threads_16,localhost-8091,jersey3,full,1000000,1712088558252,1712088572247,13995,206005,236994,271661,385062,151003
MXULOMJ8,ms-test-20240402_220954-0,threads_16,localhost-8091,jersey3,local,1000000,1712088595597,1712088600209,4612,62365.6,100403,130048,213889,161465
MXULOMJ8,ms-test-20240402_221022-0,threads_16,localhost-8092,flask_2_0_3,full,1000000,1712088623941,1712089306867,682926,1.05217e+07,13269983,14966754,16879321,2.28903e+06
MXULOMJ8,ms-test-20240402_222209-0,threads_16,localhost-8092,flask_2_0_3,local,1000000,1712089330553,1712089334961,4408,59292.7,90129,117163,176683,185870
MXULOMJ8,ms-test-20240402_222236-0,threads_16,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712089358097,1712089371541,13444,199674,240461,273475,393615,169033
MXULOMJ8,ms-test-20240402_222314-0,threads_16,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712089395528,1712089400059,4531,59627.1,97654,126123,206568,152855
MXULOMJ8,ms-test-20240402_222342-0,threads_16,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712089423905,1712089436251,12346,181045,224956,258140,372793,171296
MXULOMJ8,ms-test-20240402_222418-0,threads_16,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712089459240,1712089463892,4652,63685.3,102183,133459,245221,176390
MXULOMJ8,ms-test-20240403_105822-0,threads_1,mxulomj7-8090,spring3_6_1_5,full,1000000,1712134703473,1712134859599,156126,149760,160898,175926,288357,151507
MXULOMJ8,ms-test-20240403_110121-0,threads_1,mxulomj7-8091,jersey3,full,1000000,1712134882628,1712135052717,170089,163862,173274,181542,315660,74426.6
MXULOMJ8,ms-test-20240403_110434-0,threads_1,mxulomj7-8092,flask_2_0_3,full,1000000,1712135075637,1712135835504,759867,754005,790248,944683,961584,92936.6
MXULOMJ8,ms-test-20240403_111737-0,threads_1,mxulomj7-8080,tomcat_jersey_3_1_0,full,1000000,1712135860300,1712136047085,186785,182320,192543,200144,316939,1.39158e+06
MXULOMJ8,ms-test-20240403_112108-0,threads_1,mxulomj7-8080,tomcat_spring3_6_1_5,full,1000000,1712136070945,1712136241408,170463,165409,172610,178068,290258,985183
MXULOMJ8,ms-test-20240403_112423-0,threads_2,mxulomj7-8090,spring3_6_1_5,full,1000000,1712136264240,1712136353592,89352,166757,186103,198202,276118,182279
MXULOMJ8,ms-test-20240403_112615-0,threads_2,mxulomj7-8091,jersey3,full,1000000,1712136376560,1712136464663,88103,169193,183784,192755,230683,52566.9
MXULOMJ8,ms-test-20240403_112806-0,threads_2,mxulomj7-8092,flask_2_0_3,full,1000000,1712136487668,1712137183435,695767,1.38427e+06,1532571,1707199,1930730,315938
MXULOMJ8,ms-test-20240403_114005-0,threads_2,mxulomj7-8080,tomcat_jersey_3_1_0,full,1000000,1712137206751,1712137304208,97457,188157,203761,217820,299641,235452
MXULOMJ8,ms-test-20240403_114206-0,threads_2,mxulomj7-8080,tomcat_spring3_6_1_5,full,1000000,1712137327053,1712137416044,88991,170511,182129,191545,274501,218730
MXULOMJ8,ms-test-20240403_114358-0,threads_4,mxulomj7-8090,spring3_6_1_5,full,1000000,1712137439254,1712137483588,44334,161721,181737,195492,276104,66508.2
MXULOMJ8,ms-test-20240403_114505-0,threads_4,mxulomj7-8091,jersey3,full,1000000,1712137506465,1712137552639,46174,176913,194178,204054,238831,72280.9
MXULOMJ8,ms-test-20240403_114614-0,threads_4,mxulomj7-8092,flask_2_0_3,full,1000000,1712137575757,1712138231729,655972,2.40742e+06,3266625,3320049,3462573,714955
MXULOMJ8,ms-test-20240403_115733-0,threads_4,mxulomj7-8080,tomcat_jersey_3_1_0,full,1000000,1712138254923,1712138304109,49186,188024,208963,223544,307866,73973.7
MXULOMJ8,ms-test-20240403_115846-0,threads_4,mxulomj7-8080,tomcat_spring3_6_1_5,full,1000000,1712138327168,1712138372149,44981,171729,191596,206596,290318,71102.4
