MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
26002;ERA;Polonia;zona_roaming_1
26003;Orange;Polonia;zona_roaming_1
26006;P4;Polonia;zona_roaming_1
26201;T-Mobile;Alemania;zona_roaming_1
26202;Vodafone;Alemania;zona_roaming_1
26203;E-Plus;Alemania;zona_roaming_1
26207;O2;Alemania;zona_roaming_1
26208;O2;Alemania;zona_roaming_1
26601;GIBTEL;Gibraltar;zona_roaming_1
26801;Vodafone Telecel;Portugal;zona_roaming_1
26803;Optimus;Portugal;zona_roaming_1
26806;TMN;Portugal;zona_roaming_1
26880;MEO;Portugal;zona_roaming_1
27001;P&T;Luxemburgo;zona_roaming_1
27002;MTX Connect;Luxemburgo;zona_roaming_1
27077;Tango;Luxemburgo;zona_roaming_1
27099;Orange;Luxemburgo;zona_roaming_1
27201;Vodafone;Irlanda;zona_roaming_1
27202;O2Communication;Irlanda;zona_roaming_1
27203;Meteor;Irlanda;zona_roaming_1
27205;H3G;Irlanda;zona_roaming_1
27211;TESCO MOBILE;Irlanda;zona_roaming_1
27401;SIMINN;Islandia;zona_roaming_1
27402;OGVodafone;Feroe;zona_roaming_1
