MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
42502;Cellcom;Israel;zona_roaming_3
42503;Pelephone;Israel;zona_roaming_3
42505;Jawwal;Palestina;zona_roaming_3
42506;Wataniya Mobile;Palestina;zona_roaming_3
42601;Batelco;Bahrein;zona_roaming_3
42604;VIVA;Bahrein;zona_roaming_3
42701;Qtel;Qatar;zona_roaming_3
42702;Vodafone;Qatar;zona_roaming_3
42888;Unitel;Mongolia;zona_roaming_3
42901;NTC Mobile;Nepal;zona_roaming_3
42902;Spice;Nepal;zona_roaming_3
43211;MCI;Iran;zona_roaming_3
43404;Unitel;Uzbekistan;zona_roaming_3
43405;Coscom;Uzbekistan;zona_roaming_3
43601;Indigo;Tayikistan;zona_roaming_3
43602;Indigo;Tayikistan;zona_roaming_3
43604;Babilon;Tayikistan;zona_roaming_3
43605;Tacom;Tayikistan;zona_roaming_3
43705;Bimocom/Megacom;Kirguistan;zona_roaming_3
43709;NUR;Kirguistan;zona_roaming_3
43801;BCTI;Turkmenistan;zona_roaming_3
43802;Tmcell;Turkmenistan;zona_roaming_3
44010;NTT Docomo;Japon;zona_roaming_3
44050;KDDI;Japon;zona_roaming_3
44051;KDDI;Japon;zona_roaming_3
45002;KT;Corea S;zona_roaming_3
45005;SKTelecom;Corea S;zona_roaming_3
45006;LGUPlus;Corea S;zona_roaming_3
45008;KT;Corea S;zona_roaming_3
45201;VMS / Mobifone;Vietnam;zona_roaming_3
45202;Vinaphone;Vietnam;zona_roaming_3
45204;Viettel;Vietnam;zona_roaming_3
45205;Vietnamobile;Vietnam;zona_roaming_3
45207;Beeline;Vietnam;zona_roaming_3
45400;Hong Kong CSL;Hong Kong;zona_roaming_3
45402;Hong Kong CSL;Hong Kong;zona_roaming_3
45403;Hutchinson;Hong Kong;zona_roaming_3
45404;Hutchinson;Hong Kong;zona_roaming_3
45406;SmarTone Mobile;Hong Kong;zona_roaming_3
45410;New World;Hong Kong;zona_roaming_3
45412;China Mobile;Hong Kong;zona_roaming_3
45416;SUNDAY;Hong Kong;zona_roaming_3
45418;Hong Kong CSL;Hong Kong;zona_roaming_3
45419;SUNDAY;Hong Kong;zona_roaming_3
45501;CTM;Macao;zona_roaming_3
45503;Hutchinson/T-Systems;Macao;zona_roaming_3
45602;Latelz;Camboya;zona_roaming_3
45604;Cadcom;Camboya;zona_roaming_3
45605;Applifone;Camboya;zona_roaming_3
45606;Latelz;Camboya;zona_roaming_3
45608;Mfone;Camboya;zona_roaming_3
45618;Mfone;Camboya;zona_roaming_3
45701;Laos Telecom;Laos;zona_roaming_3
45708;Millicom / Tigo;Laos;zona_roaming_3
46000;China Mobile;China;zona_roaming_3
46001;China Unicom;China;zona_roaming_3
46002;China Mobile;China;zona_roaming_3
46007;China Mobile;China;zona_roaming_3
46009;China Unicom;China;zona_roaming_3
46601;Far EasTone;Taiwan;zona_roaming_3
46688;Far EasTone;Taiwan;zona_roaming_3
46689;Vibo;Taiwan;zona_roaming_3
